Where,Euler1,Euler2,Euler3,Time,Input
Init,0,0,0,0.011069,null
Init,0,0,0,0.002353966,null
Init,0,0,0,0.004779041,null
Init,0,0,0,0.003628969,null
Init,0,0,0,0.003930032,null
Init,0,0,0,0.004233956,null
Init,0,0,0,0.003725052,null
Init,0,0,0,0.003868997,null
Init,0,0,0,0.004124999,null
Init,0,0,0,0.004078984,null
Init,0,0,0,0.004245996,null
Init,0,0,0,0.003714025,null
Init,0,0,0,0.003926992,null
Init,0,0,0,0.004005969,null
Init,0,0,0,0.004433036,null
Init,0,0,0,0.003636003,null
Init,0,0,0,0.00416398,null
Init,0,0,0,0.003768981,null
Init,0,0,0,0.004257023,null
Init,0,0,0,0.003718972,null
Init,0,0,0,0.004137039,null
Init,0,0,0,0.004217982,null
Init,0,0,0,0.003601015,null
Init,0,0,0,0.00414896,null
Init,0,0,0,0.004027009,null
Init,0,0,0,0.003804028,null
Init,0,0,0,0.004177988,null
Init,0,0,0,0.004011989,null
Init,0,0,0,0.004010022,null
Init,0,0,0,0.003805995,null
Init,0,0,0,0.00405699,null
Init,0,0,0,0.003823996,null
Init,0,0,0,0.004082978,null
Init,0,0,0,0.004037023,null
Init,0,0,0,0.004058003,null
Init,0,0,0,0.003813028,null
Init,0,0,0,0.004289985,null
Init,0,0,0,0.003903985,null
Init,0,0,0,0.004267991,null
Init,0,0,0,0.00364399,null
Init,0,0,0,0.00405705,null
Init,0,0,0,0.003916979,null
Init,0,0,0,0.004180014,null
Init,0,0,0,0.003968,null
Init,0,0,0,0.004150987,null
Init,0,0,0,0.003883004,null
Init,0,0,0,0.004032969,null
Init,0,0,0,0.003899038,null
Init,0,0,0,0.004079998,null
Init,0,0,0,0.003808975,null
Init,0,0,0,0.004170001,null
Init,0,0,0,0.003886998,null
Init,0,0,0,0.004118025,null
Init,0,0,0,0.003853977,null
Init,0,0,0,0.004276037,null
Init,0,0,0,0.003888965,null
Init,0,0,0,0.004005015,null
Init,0,0,0,0.003917992,null
Init,0,0,0,0.004172027,null
Init,0,0,0,0.003888965,null
Init,0,0,0,0.004056036,null
Init,0,0,0,0.003844976,null
Init,0,0,0,0.004027009,null
Init,0,0,0,0.00405097,null
Init,0,0,0,0.004337013,null
Init,0,0,0,0.00386399,null
Init,0,0,0,0.003831029,null
Init,0,0,0,0.003959,null
Init,0,0,0,0.004010975,null
Init,0,0,0,0.003922999,null
Init,0,0,0,0.004213035,null
