Where,Euler1,Euler2,Euler3,Time,Input,Target,Ori
Cafe Hauptwache,0,0,0,0.02,null,Fog,1000
Cafe Hauptwache,0,0,0,0.02,null,Fog,1000
Cafe Hauptwache,0,0,0,0.3333333,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01033008,null,Fog,1000
Cafe Hauptwache,0,0,0,0.008652925,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003493071,null,Fog,1000
Cafe Hauptwache,0,0,0,0.004091978,null,Fog,1000
Cafe Hauptwache,0,0,0,0.004122972,null,Fog,1000
Cafe Hauptwache,0,0,0,0.00386405,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01215994,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01618898,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01596701,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01565909,null,Fog,1000
Cafe Hauptwache,0,0,0,0.02039897,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01619303,null,Fog,1000
Cafe Hauptwache,0,0,0,0.02060592,null,Fog,1000
Cafe Hauptwache,0,0,0,0.011235,null,Fog,1000
Cafe Hauptwache,0,0,0,0.02057505,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01579094,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01628709,null,Fog,1000
Cafe Hauptwache,0,0,0,0.02063298,null,Fog,1000
Cafe Hauptwache,0,0,0,0.02261102,null,Fog,1000
Cafe Hauptwache,0,0,0,0.007800937,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01638699,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01163006,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003737926,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01697505,null,Fog,1000
Cafe Hauptwache,0,0,0,0.007689953,null,Fog,1000
Cafe Hauptwache,0,0,0,0.00385201,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003907084,null,Fog,1000
Cafe Hauptwache,0,0,0,0.00781095,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003903985,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003869057,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01211393,null,Fog,1000
Cafe Hauptwache,0,0,0,0.004196048,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003826022,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003996968,null,Fog,1000
Cafe Hauptwache,0,0,0,0.007907987,null,Fog,1000
Cafe Hauptwache,0,0,0,0.004029036,null,Fog,1000
Cafe Hauptwache,0,0,0,0.004706979,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003157973,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01646006,null,Fog,1000
Cafe Hauptwache,0,0,0,0.004049897,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003641009,null,Fog,1000
Cafe Hauptwache,0,0,0,0.01668704,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003195047,null,Fog,1000
Cafe Hauptwache,0,0,0,0.004333973,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003808975,null,Fog,1000
Cafe Hauptwache,0,0,0,0.004243016,null,Fog,1000
Cafe Hauptwache,0,0,0,0.02443695,null,Fog,1000
Cafe Hauptwache,0,0,0,0.007266045,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003880978,null,Fog,1000
Cafe Hauptwache,0,0,0,0.004281998,null,Fog,1000
Cafe Hauptwache,0,0,0,0.00801003,null,Fog,1000
Cafe Hauptwache,0,0,0,0.003903985,null,Fog,1000
